distance_to_pipe,current_y,velocity,pipe_y,y_error,action
0,0,0,0,0,0
350,200,0,134,4356,0
340,200.5,0.5,134,4422.25,0
330,201.5,1.0,134,4556.25,1
320,194.0,-7.5,134,3600.0,1
310,186.5,-7.5,134,2756.25,0
300,179.5,-7.0,134,2070.25,0
290,173.0,-6.5,134,1521.0,0
280,167.0,-6.0,134,1089.0,1
270,159.5,-7.5,134,650.25,0
260,152.5,-7.0,134,342.25,0
250,146.0,-6.5,134,144.0,1
240,138.5,-7.5,134,20.25,0
230,131.5,-7.0,134,6.25,0
220,125.0,-6.5,134,81.0,0
210,119.0,-6.0,134,225.0,0
200,113.5,-5.5,134,420.25,1
190,106.0,-7.5,134,784.0,0
180,99.0,-7.0,134,1225.0,0
170,92.5,-6.5,134,1722.25,1
160,85.0,-7.5,134,2401.0,0
150,78.0,-7.0,134,3136.0,0
140,71.5,-6.5,134,3906.25,0
130,65.5,-6.0,134,4692.25,1
120,58.0,-7.5,134,5776.0,0
110,51.0,-7.0,134,6889.0,0
100,44.5,-6.5,134,8010.25,0
90,38.5,-6.0,134,9120.25,0
80,33.0,-5.5,134,10201.0,0
70,28.0,-5.0,134,11236.0,0
60,23.5,-4.5,134,12210.25,1
50,16.0,-7.5,134,13924.0,0
40,9.0,-7.0,134,15625.0,0
30,2.5,-6.5,134,17292.25,0
350,200,0,133,4489,1
340,192.5,-7.5,133,3540.25,1
330,185.0,-7.5,133,2704.0,0
320,178.0,-7.0,133,2025.0,0
310,171.5,-6.5,133,1482.25,0
300,165.5,-6.0,133,1056.25,0
290,160.0,-5.5,133,729.0,1
280,152.5,-7.5,133,380.25,0
270,145.5,-7.0,133,156.25,0
260,139.0,-6.5,133,36.0,0
250,133.0,-6.0,133,0.0,0
240,127.5,-5.5,133,30.25,0
230,122.5,-5.0,133,110.25,0
220,118.0,-4.5,133,225.0,0
210,114.0,-4.0,133,361.0,0
200,110.5,-3.5,133,506.25,0
190,107.5,-3.0,133,650.25,0
180,105.0,-2.5,133,784.0,0
170,103.0,-2.0,133,900.0,0
160,101.5,-1.5,133,992.25,0
150,100.5,-1.0,133,1056.25,0
140,100.0,-0.5,133,1089.0,0
130,100.0,0.0,133,1089.0,0
120,100.5,0.5,133,1056.25,0
110,101.5,1.0,133,992.25,0
100,103.0,1.5,133,900.0,0
90,105.0,2.0,133,784.0,0
80,107.5,2.5,133,650.25,0
70,110.5,3.0,133,506.25,0
60,114.0,3.5,133,361.0,0
50,118.0,4.0,133,225.0,1
40,110.5,-7.5,133,506.25,1
30,103.0,-7.5,133,900.0,0
20,96.0,-7.0,133,1369.0,0
350,200,0,116,7056,0
340,200.5,0.5,116,7140.25,0
330,201.5,1.0,116,7310.25,0
320,203.0,1.5,116,7569.0,0
310,205.0,2.0,116,7921.0,0
300,207.5,2.5,116,8372.25,0
290,210.5,3.0,116,8930.25,1
280,203.0,-7.5,116,7569.0,0
270,196.0,-7.0,116,6400.0,0
260,189.5,-6.5,116,5402.25,0
250,183.5,-6.0,116,4556.25,0
240,178.0,-5.5,116,3844.0,0
230,173.0,-5.0,116,3249.0,0
220,168.5,-4.5,116,2756.25,0
210,164.5,-4.0,116,2352.25,0
200,161.0,-3.5,116,2025.0,0
190,158.0,-3.0,116,1764.0,0
180,155.5,-2.5,116,1560.25,0
170,153.5,-2.0,116,1406.25,0
160,152.0,-1.5,116,1296.0,0
150,151.0,-1.0,116,1225.0,1
140,143.5,-7.5,116,756.25,0
130,136.5,-7.0,116,420.25,0
120,130.0,-6.5,116,196.0,1
110,122.5,-7.5,116,42.25,0
100,115.5,-7.0,116,0.25,0
90,109.0,-6.5,116,49.0,0
80,103.0,-6.0,116,169.0,0
70,97.5,-5.5,116,342.25,1
60,90.0,-7.5,116,676.0,0
50,83.0,-7.0,116,1089.0,0
40,76.5,-6.5,116,1560.25,0
30,70.5,-6.0,116,2070.25,0
20,65.0,-5.5,116,2601.0,0
350,200,0,139,3721,0
340,200.5,0.5,139,3782.25,0
330,201.5,1.0,139,3906.25,1
320,194.0,-7.5,139,3025.0,0
310,187.0,-7.0,139,2304.0,0
300,180.5,-6.5,139,1722.25,1
290,173.0,-7.5,139,1156.0,0
280,166.0,-7.0,139,729.0,0
270,159.5,-6.5,139,420.25,0
260,153.5,-6.0,139,210.25,0
250,148.0,-5.5,139,81.0,0
240,143.0,-5.0,139,16.0,0
230,138.5,-4.5,139,0.25,0
220,134.5,-4.0,139,20.25,0
210,131.0,-3.5,139,64.0,0
200,128.0,-3.0,139,121.0,0
190,125.5,-2.5,139,182.25,0
180,123.5,-2.0,139,240.25,0
170,122.0,-1.5,139,289.0,0
160,121.0,-1.0,139,324.0,1
150,113.5,-7.5,139,650.25,0
140,106.5,-7.0,139,1056.25,0
130,100.0,-6.5,139,1521.0,0
120,94.0,-6.0,139,2025.0,0
110,88.5,-5.5,139,2550.25,0
100,83.5,-5.0,139,3080.25,0
90,79.0,-4.5,139,3600.0,0
80,75.0,-4.0,139,4096.0,0
70,71.5,-3.5,139,4556.25,0
60,68.5,-3.0,139,4970.25,0
50,66.0,-2.5,139,5329.0,0
40,64.0,-2.0,139,5625.0,0
30,62.5,-1.5,139,5852.25,0
20,61.5,-1.0,139,6006.25,0
350,200,0,114,7396,0
340,200.5,0.5,114,7482.25,0
330,201.5,1.0,114,7656.25,0
320,203.0,1.5,114,7921.0,0
310,205.0,2.0,114,8281.0,0
300,207.5,2.5,114,8742.25,0
290,210.5,3.0,114,9312.25,0
280,214.0,3.5,114,10000.0,0
270,218.0,4.0,114,10816.0,0
260,222.5,4.5,114,11772.25,0
250,227.5,5.0,114,12882.25,1
240,220.0,-7.5,114,11236.0,0
230,213.0,-7.0,114,9801.0,0
220,206.5,-6.5,114,8556.25,1
210,199.0,-7.5,114,7225.0,1
200,191.5,-7.5,114,6006.25,0
190,184.5,-7.0,114,4970.25,1
180,177.0,-7.5,114,3969.0,0
170,170.0,-7.0,114,3136.0,0
160,163.5,-6.5,114,2450.25,0
150,157.5,-6.0,114,1892.25,0
140,152.0,-5.5,114,1444.0,0
130,147.0,-5.0,114,1089.0,0
120,142.5,-4.5,114,812.25,0
110,138.5,-4.0,114,600.25,0
100,135.0,-3.5,114,441.0,0
90,132.0,-3.0,114,324.0,0
80,129.5,-2.5,114,240.25,0
70,127.5,-2.0,114,182.25,0
60,126.0,-1.5,114,144.0,0
50,125.0,-1.0,114,121.0,0
40,124.5,-0.5,114,110.25,0
30,124.5,0.0,114,110.25,0
20,125.0,0.5,114,121.0,0
10,126.0,1.0,114,144.0,0
0,127.5,1.5,114,182.25,1
-10,120.0,-7.5,114,36.0,0
350,200,0,147,2809,0
340,200.5,0.5,147,2862.25,0
330,201.5,1.0,147,2970.25,0
320,203.0,1.5,147,3136.0,0
310,205.0,2.0,147,3364.0,0
300,207.5,2.5,147,3660.25,0
290,210.5,3.0,147,4032.25,0
280,214.0,3.5,147,4489.0,0
270,218.0,4.0,147,5041.0,0
260,222.5,4.5,147,5700.25,0
250,227.5,5.0,147,6480.25,0
240,233.0,5.5,147,7396.0,0
230,239.0,6.0,147,8464.0,0
220,245.5,6.5,147,9702.25,0
210,252.5,7.0,147,11130.25,0
200,260.0,7.5,147,12769.0,0
190,268.0,8.0,147,14641.0,0
180,276.5,8.5,147,16770.25,0
170,285.5,9.0,147,19182.25,0
160,295.0,9.5,147,21904.0,0
150,305.0,10.0,147,24964.0,1
140,297.5,-7.5,147,22650.25,0
130,290.5,-7.0,147,20592.25,0
120,284.0,-6.5,147,18769.0,0
110,278.0,-6.0,147,17161.0,0
100,272.5,-5.5,147,15750.25,0
