distance_to_pipe,current_y,velocity,pipe_y,y_error,action
0,0,0,0,0,0
350,200,0,200.0,0.0,1
340,192.5,-7.5,200.0,56.25,0
330,185.5,-7.0,200.0,210.25,0
320,179.0,-6.5,200.0,441.0,0
310,173.0,-6.0,200.0,729.0,0
300,167.5,-5.5,200.0,1056.25,0
290,162.5,-5.0,200.0,1406.25,0
280,158.0,-4.5,200.0,1764.0,0
270,154.0,-4.0,200.0,2116.0,1
260,146.5,-7.5,200.0,2862.25,0
250,139.5,-7.0,200.0,3660.25,0
240,133.0,-6.5,200.0,4489.0,0
230,127.0,-6.0,200.0,5329.0,0
220,121.5,-5.5,200.0,6162.25,0
210,116.5,-5.0,200.0,6972.25,0
200,112.0,-4.5,200.0,7744.0,1
190,104.5,-7.5,200.0,9120.25,0
180,97.5,-7.0,200.0,10250.0,0
170,91.0,-6.5,200.0,10900.0,0
160,85.0,-6.0,200.0,11500.0,0
150,79.5,-5.5,200.0,12050.0,0
140,74.5,-5.0,200.0,12550.0,0
130,70.0,-4.5,200.0,13000.0,0
120,66.0,-4.0,200.0,13400.0,0
110,62.5,-3.5,200.0,13750.0,1
100,55.0,-7.5,200.0,14500.0,0
90,48.0,-7.0,200.0,15200.0,0
80,41.5,-6.5,200.0,15850.0,0
70,35.5,-6.0,200.0,16450.0,0
60,30.0,-5.5,200.0,17000.0,0
50,25.0,-5.0,200.0,17500.0,0
40,20.5,-4.5,200.0,17950.0,0
30,16.5,-4.0,200.0,18350.0,0
20,13.0,-3.5,200.0,18700.0,0
350,200,0,183.0,289.0,1
340,192.5,-7.5,183.0,90.25,0
330,185.5,-7.0,183.0,6.25,0
320,179.0,-6.5,183.0,16.0,0
310,173.0,-6.0,183.0,100.0,0
300,167.5,-5.5,183.0,240.25,0
290,162.5,-5.0,183.0,420.25,0
280,158.0,-4.5,183.0,625.0,0
270,154.0,-4.0,183.0,841.0,1
260,146.5,-7.5,183.0,1332.25,0
250,139.5,-7.0,183.0,1892.25,0
240,133.0,-6.5,183.0,2500.0,0
230,127.0,-6.0,183.0,3136.0,0
220,121.5,-5.5,183.0,3782.25,0
210,116.5,-5.0,183.0,4422.25,0
200,112.0,-4.5,183.0,5041.0,1
190,104.5,-7.5,183.0,6162.25,0
180,97.5,-7.0,183.0,7310.25,0
170,91.0,-6.5,183.0,8464.0,0
160,85.0,-6.0,183.0,9604.0,0
150,79.5,-5.5,183.0,10350.0,0
140,74.5,-5.0,183.0,10850.0,1
130,67.0,-7.5,183.0,11600.0,0
120,60.0,-7.0,183.0,12300.0,0
110,53.5,-6.5,183.0,12950.0,0
100,47.5,-6.0,183.0,13550.0,0
90,42.0,-5.5,183.0,14100.0,0
80,37.0,-5.0,183.0,14600.0,0
70,32.5,-4.5,183.0,15050.0,0
60,28.5,-4.0,183.0,15450.0,0
50,25.0,-3.5,183.0,15800.0,0
40,22.0,-3.0,183.0,16100.0,1
30,14.5,-7.5,183.0,16850.0,0
20,7.5,-7.0,183.0,17550.0,0
350,200,0,213.0,169.0,0
340,200.5,0.5,213.0,156.25,0
330,201.5,1.0,213.0,132.25,0
320,203.0,1.5,213.0,100.0,0
310,205.0,2.0,213.0,64.0,0
300,207.5,2.5,213.0,30.25,0
290,210.5,3.0,213.0,6.25,0
280,214.0,3.5,213.0,1.0,0
270,218.0,4.0,213.0,25.0,1
260,210.5,-7.5,213.0,6.25,1
250,203.0,-7.5,213.0,100.0,0
240,196.0,-7.0,213.0,289.0,0
230,189.5,-6.5,213.0,552.25,0
220,183.5,-6.0,213.0,870.25,0
210,178.0,-5.5,213.0,1225.0,0
200,173.0,-5.0,213.0,1600.0,0
190,168.5,-4.5,213.0,1980.25,0
180,164.5,-4.0,213.0,2352.25,0
170,161.0,-3.5,213.0,2704.0,0
160,158.0,-3.0,213.0,3025.0,0
150,155.5,-2.5,213.0,3306.25,0
140,153.5,-2.0,213.0,3540.25,0
130,152.0,-1.5,213.0,3721.0,1
120,144.5,-7.5,213.0,4692.25,0
110,137.5,-7.0,213.0,5700.25,0
100,131.0,-6.5,213.0,6724.0,0
90,125.0,-6.0,213.0,7744.0,0
80,119.5,-5.5,213.0,8742.25,0
70,114.5,-5.0,213.0,9702.25,0
60,110.0,-4.5,213.0,10300.0,0
50,106.0,-4.0,213.0,10700.0,1
40,98.5,-7.5,213.0,11450.0,0
30,91.5,-7.0,213.0,12150.0,0
20,85.0,-6.5,213.0,12800.0,0
350,200,0,225.0,625.0,0
340,200.5,0.5,225.0,600.25,0
330,201.5,1.0,225.0,552.25,0
320,203.0,1.5,225.0,484.0,0
310,205.0,2.0,225.0,400.0,0
300,207.5,2.5,225.0,306.25,0
290,210.5,3.0,225.0,210.25,1
280,203.0,-7.5,225.0,484.0,0
270,196.0,-7.0,225.0,841.0,0
260,189.5,-6.5,225.0,1260.25,1
250,182.0,-7.5,225.0,1849.0,0
240,175.0,-7.0,225.0,2500.0,0
230,168.5,-6.5,225.0,3192.25,0
220,162.5,-6.0,225.0,3906.25,1
210,155.0,-7.5,225.0,4900.0,0
200,148.0,-7.0,225.0,5929.0,0
190,141.5,-6.5,225.0,6972.25,0
180,135.5,-6.0,225.0,8010.25,0
170,130.0,-5.5,225.0,9025.0,0
160,125.0,-5.0,225.0,10000.0,0
150,120.5,-4.5,225.0,10450.0,0
140,116.5,-4.0,225.0,10850.0,0
130,113.0,-3.5,225.0,11200.0,0
120,110.0,-3.0,225.0,11500.0,0
110,107.5,-2.5,225.0,11750.0,0
100,105.5,-2.0,225.0,11950.0,0
90,104.0,-1.5,225.0,12100.0,0
80,103.0,-1.0,225.0,12200.0,0
70,102.5,-0.5,225.0,12250.0,1
60,95.0,-7.5,225.0,13000.0,0
50,88.0,-7.0,225.0,13700.0,0
40,81.5,-6.5,225.0,14350.0,0
30,75.5,-6.0,225.0,14950.0,0
20,70.0,-5.5,225.0,15500.0,0
350,200,0,200.0,0.0,0
340,200.5,0.5,200.0,0.25,0
330,201.5,1.0,200.0,2.25,0
320,203.0,1.5,200.0,9.0,0
310,205.0,2.0,200.0,25.0,0
300,207.5,2.5,200.0,56.25,0
290,210.5,3.0,200.0,110.25,0
280,214.0,3.5,200.0,196.0,0
270,218.0,4.0,200.0,324.0,0
260,222.5,4.5,200.0,506.25,0
250,227.5,5.0,200.0,756.25,0
240,233.0,5.5,200.0,1089.0,0
230,239.0,6.0,200.0,1521.0,0
220,245.5,6.5,200.0,2070.25,0
210,252.5,7.0,200.0,2756.25,0
200,260.0,7.5,200.0,3600.0,0
190,268.0,8.0,200.0,4624.0,0
180,276.5,8.5,200.0,5852.25,0
170,285.5,9.0,200.0,7310.25,0
160,295.0,9.5,200.0,9025.0,0
150,305.0,10.0,200.0,10500.0,0
140,315.5,10.5,200.0,11550.0,0
130,326.5,11.0,200.0,12650.0,0
120,338.0,11.5,200.0,13800.0,1
110,330.5,-7.5,200.0,13050.0,0
100,323.5,-7.0,200.0,12350.0,0
90,317.0,-6.5,200.0,11700.0,0
80,311.0,-6.0,200.0,11100.0,0
70,305.5,-5.5,200.0,10550.0,0
60,300.5,-5.0,200.0,10050.0,0
50,296.0,-4.5,200.0,9216.0,0
40,292.0,-4.0,200.0,8464.0,0
30,288.5,-3.5,200.0,7832.25,0
20,285.5,-3.0,200.0,7310.25,0
350,200,0,223.0,529.0,0
340,200.5,0.5,223.0,506.25,0
330,201.5,1.0,223.0,462.25,0
320,203.0,1.5,223.0,400.0,0
310,205.0,2.0,223.0,324.0,0
300,207.5,2.5,223.0,240.25,0
290,210.5,3.0,223.0,156.25,0
280,214.0,3.5,223.0,81.0,0
270,218.0,4.0,223.0,25.0,0
260,222.5,4.5,223.0,0.25,0
250,227.5,5.0,223.0,20.25,0
240,233.0,5.5,223.0,100.0,0
230,239.0,6.0,223.0,256.0,0
220,245.5,6.5,223.0,506.25,0
210,252.5,7.0,223.0,870.25,0
200,260.0,7.5,223.0,1369.0,0
190,268.0,8.0,223.0,2025.0,0
180,276.5,8.5,223.0,2862.25,0
