distance_to_pipe,current_y,velocity,pipe_y,y_error,action
0,0,0,0,0,0
350,200,0,150,2500,0
340,200.5,0.5,150,2550.25,0
330,201.5,1.0,150,2652.25,0
320,203.0,1.5,150,2809.0,1
310,195.5,-7.5,150,2070.25,0
300,188.5,-7.0,150,1482.25,0
290,182.0,-6.5,150,1024.0,0
280,176.0,-6.0,150,676.0,0
270,170.5,-5.5,150,420.25,0
260,165.5,-5.0,150,240.25,0
250,161.0,-4.5,150,121.0,0
240,157.0,-4.0,150,49.0,0
230,153.5,-3.5,150,12.25,0
220,150.5,-3.0,150,0.25,1
210,143.0,-7.5,150,49.0,0
200,136.0,-7.0,150,196.0,1
190,128.5,-7.5,150,462.25,1
180,121.0,-7.5,150,841.0,0
170,114.0,-7.0,150,1296.0,0
160,107.5,-6.5,150,1806.25,1
150,100.0,-7.5,150,2500.0,1
140,92.5,-7.5,150,3306.25,0
130,85.5,-7.0,150,4160.25,0
120,79.0,-6.5,150,5041.0,0
110,73.0,-6.0,150,5929.0,0
100,67.5,-5.5,150,6806.25,0
90,62.5,-5.0,150,7656.25,0
80,58.0,-4.5,150,8464.0,0
70,54.0,-4.0,150,9216.0,0
60,50.5,-3.5,150,9900.25,0
50,47.5,-3.0,150,10506.25,0
40,45.0,-2.5,150,11025.0,0
30,43.0,-2.0,150,11449.0,0
20,41.5,-1.5,150,11772.25,0
350,200,0,128,5184,1
340,192.5,-7.5,128,4160.25,0
330,185.5,-7.0,128,3306.25,0
320,179.0,-6.5,128,2601.0,1
310,171.5,-7.5,128,1892.25,0
300,164.5,-7.0,128,1332.25,0
290,158.0,-6.5,128,900.0,0
280,152.0,-6.0,128,576.0,1
270,144.5,-7.5,128,272.25,0
260,137.5,-7.0,128,90.25,0
250,131.0,-6.5,128,9.0,0
240,125.0,-6.0,128,9.0,0
230,119.5,-5.5,128,72.25,0
220,114.5,-5.0,128,182.25,0
210,110.0,-4.5,128,324.0,0
200,106.0,-4.0,128,484.0,0
190,102.5,-3.5,128,650.25,0
180,99.5,-3.0,128,812.25,0
170,97.0,-2.5,128,961.0,1
160,89.5,-7.5,128,1482.25,0
150,82.5,-7.0,128,2070.25,0
140,76.0,-6.5,128,2704.0,0
130,70.0,-6.0,128,3364.0,0
120,64.5,-5.5,128,4032.25,0
110,59.5,-5.0,128,4692.25,0
100,55.0,-4.5,128,5329.0,0
90,51.0,-4.0,128,5929.0,0
80,47.5,-3.5,128,6480.25,0
70,44.5,-3.0,128,6972.25,0
